,movie_id,title,user_id,rating
0,1,Toy Story (1995),308,4
1,1,Toy Story (1995),287,5
2,1,Toy Story (1995),148,4
3,1,Toy Story (1995),280,4
4,1,Toy Story (1995),66,3
5,1,Toy Story (1995),5,4
6,1,Toy Story (1995),109,4
7,1,Toy Story (1995),181,3
8,1,Toy Story (1995),95,5
9,1,Toy Story (1995),268,3
10,1,Toy Story (1995),189,5
11,1,Toy Story (1995),145,3
12,1,Toy Story (1995),158,4
13,1,Toy Story (1995),67,3
14,1,Toy Story (1995),232,4
15,1,Toy Story (1995),150,4
16,1,Toy Story (1995),289,3
17,1,Toy Story (1995),117,4
18,1,Toy Story (1995),49,2
19,1,Toy Story (1995),223,4
20,1,Toy Story (1995),56,4
21,1,Toy Story (1995),17,4
22,1,Toy Story (1995),340,5
23,1,Toy Story (1995),177,3
24,1,Toy Story (1995),194,4
25,1,Toy Story (1995),250,4
26,1,Toy Story (1995),213,2
27,1,Toy Story (1995),350,4
28,1,Toy Story (1995),348,4
29,1,Toy Story (1995),131,4
30,1,Toy Story (1995),106,4
31,1,Toy Story (1995),234,3
32,1,Toy Story (1995),43,5
33,1,Toy Story (1995),20,3
34,1,Toy Story (1995),246,4
35,1,Toy Story (1995),94,4
36,1,Toy Story (1995),279,3
37,1,Toy Story (1995),38,5
38,1,Toy Story (1995),128,4
39,1,Toy Story (1995),96,5
40,1,Toy Story (1995),203,3
41,1,Toy Story (1995),157,5
42,1,Toy Story (1995),311,4
43,1,Toy Story (1995),125,4
44,1,Toy Story (1995),286,4
45,1,Toy Story (1995),83,4
46,1,Toy Story (1995),301,4
47,1,Toy Story (1995),345,3
48,1,Toy Story (1995),18,5
49,1,Toy Story (1995),322,2
50,1,Toy Story (1995),64,4
51,1,Toy Story (1995),45,5
52,1,Toy Story (1995),247,4
53,1,Toy Story (1995),204,2
54,1,Toy Story (1995),271,3
55,1,Toy Story (1995),41,4
56,1,Toy Story (1995),274,4
57,1,Toy Story (1995),222,4
